title	text	path
Ungasan	ungasan	https://dictionary.basabali.org/Ungasan
Unggahang	unggahang	https://dictionary.basabali.org/Unggahang
Unggul	unggul	https://dictionary.basabali.org/Unggul
Ungkab	ungkab	https://dictionary.basabali.org/Ungkab
Ungkaba	ungkaba	https://dictionary.basabali.org/Ungkaba
Ungkak-angkik	ungkak-angkik	https://dictionary.basabali.org/Ungkak-angkik
Ungkal-angkil	ungkal-angkil	https://dictionary.basabali.org/Ungkal-angkil
Ungkul-ungkul	ungkul-ungkul	https://dictionary.basabali.org/Ungkul-ungkul
Ungkulan	ungkulan	https://dictionary.basabali.org/Ungkulan
Ungkulin	ungkulin	https://dictionary.basabali.org/Ungkulin
Ungkur	ungkur	https://dictionary.basabali.org/Ungkur
Ungu	ungu	https://dictionary.basabali.org/Ungu
Ungu abang pinanten	ungu abang pinanten	https://dictionary.basabali.org/Ungu_abang_pinanten
Uning	uning	https://dictionary.basabali.org/Uning
Uningang	uningang	https://dictionary.basabali.org/Uningang
Uningin	uningin	https://dictionary.basabali.org/Uningin
Untat	untat	https://dictionary.basabali.org/Untat
Unteng	unteng	https://dictionary.basabali.org/Unteng
Unti	unti	https://dictionary.basabali.org/Unti
Untu	untu	https://dictionary.basabali.org/Untu
Untulang	untulang	https://dictionary.basabali.org/Untulang
Untung	untung	https://dictionary.basabali.org/Untung
Unuh	unuh	https://dictionary.basabali.org/Unuh
Unus	unus	https://dictionary.basabali.org/Unus
Upacara	upacara	https://dictionary.basabali.org/Upacara
Upadrawa	upadrawa	https://dictionary.basabali.org/Upadrawa
Upah	upah	https://dictionary.basabali.org/Upah
Upakara	upakara	https://dictionary.basabali.org/Upakara
Upama	upama	https://dictionary.basabali.org/Upama
Upamaang	upamaang	https://dictionary.basabali.org/Upamaang
Upami	upami	https://dictionary.basabali.org/Upami
Upapira	upapira	https://dictionary.basabali.org/Upapira
Uparengga	uparengga	https://dictionary.basabali.org/Uparengga
Upas	upas	https://dictionary.basabali.org/Upas
Upasthendria	upasthendria	https://dictionary.basabali.org/Upasthendria
Upata	upata	https://dictionary.basabali.org/Upata
Upawita	upawita	https://dictionary.basabali.org/Upawita
Upaya	upaya	https://dictionary.basabali.org/Upaya
Upek	upek	https://dictionary.basabali.org/Upek
Upih	upih	https://dictionary.basabali.org/Upih
Upinin	upinin	https://dictionary.basabali.org/Upinin
Upon-upon	upon-upon	https://dictionary.basabali.org/Upon-upon
Ura	ura	https://dictionary.basabali.org/Ura
Urab	urab	https://dictionary.basabali.org/Urab
Urab kacang	urab kacang	https://dictionary.basabali.org/Urab_kacang
Urad	urad	https://dictionary.basabali.org/Urad
Urah-arih	urah-arih	https://dictionary.basabali.org/Urah-arih
Urak	urak	https://dictionary.basabali.org/Urak
Uran	uran	https://dictionary.basabali.org/Uran
Urang	urang	https://dictionary.basabali.org/Urang
Uras	uras	https://dictionary.basabali.org/Uras
Urati	urati	https://dictionary.basabali.org/Urati
Uri	uri	https://dictionary.basabali.org/Uri
Urip	urip	https://dictionary.basabali.org/Urip
